"""siteid""","""sitename""","""itemid""","""itemname""","""itemengname""","""itemunit""","""monitordate""","""concentration"""
80,關山,4,懸浮微粒,PM10,μg/m3,2024-01-01,33
80,關山,5,氮氧化物,NOx,ppb,2024-01-01,3.8
80,關山,6,一氧化氮,NO,ppb,2024-01-01,0.5
80,關山,7,二氧化氮,NO2,ppb,2024-01-01,3.2
80,關山,10,風速,WIND_SPEED,m/sec,2024-01-01,2.2
80,關山,14,溫度,AMB_TEMP,℃,2024-01-01,17.3
80,關山,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,17.8
80,關山,38,相對濕度,RH,%,2024-01-01,76
80,關山,143,小時風速值,WS_HR,m/sec,2024-01-01,1.8
83,麥寮,1,二氧化硫,SO2,ppb,2024-01-01,1.7
83,麥寮,2,一氧化碳,CO,ppm,2024-01-01,0.42
83,麥寮,3,臭氧,O3,ppb,2024-01-01,47.6
83,麥寮,4,懸浮微粒,PM10,μg/m3,2024-01-01,63
83,麥寮,5,氮氧化物,NOx,ppb,2024-01-01,6.7
83,麥寮,6,一氧化氮,NO,ppb,2024-01-01,0.7
83,麥寮,7,二氧化氮,NO2,ppb,2024-01-01,5.9
83,麥寮,8,總碳氫化物,THC,ppm,2024-01-01,2.18
83,麥寮,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.03
83,麥寮,10,風速,WIND_SPEED,m/sec,2024-01-01,6
83,麥寮,14,溫度,AMB_TEMP,℃,2024-01-01,18.5
83,麥寮,31,甲烷,CH4,ppm,2024-01-01,2.15
83,麥寮,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,32.5
83,麥寮,38,相對濕度,RH,%,2024-01-01,70
83,麥寮,143,小時風速值,WS_HR,m/sec,2024-01-01,5.6
84,富貴角,1,二氧化硫,SO2,ppb,2024-01-01,0.1
84,富貴角,2,一氧化碳,CO,ppm,2024-01-01,0.25
84,富貴角,3,臭氧,O3,ppb,2024-01-01,51.8
84,富貴角,4,懸浮微粒,PM10,μg/m3,2024-01-01,58
84,富貴角,5,氮氧化物,NOx,ppb,2024-01-01,1.8
84,富貴角,6,一氧化氮,NO,ppb,2024-01-01,0
84,富貴角,7,二氧化氮,NO2,ppb,2024-01-01,1.8
84,富貴角,8,總碳氫化物,THC,ppm,2024-01-01,2.08
84,富貴角,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.03
84,富貴角,10,風速,WIND_SPEED,m/sec,2024-01-01,8.2
84,富貴角,14,溫度,AMB_TEMP,℃,2024-01-01,17
84,富貴角,31,甲烷,CH4,ppm,2024-01-01,2.04
84,富貴角,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,24.6
84,富貴角,38,相對濕度,RH,%,2024-01-01,60
84,富貴角,143,小時風速值,WS_HR,m/sec,2024-01-01,7.9
85,大城,1,二氧化硫,SO2,ppb,2024-01-01,0.4
85,大城,2,一氧化碳,CO,ppm,2024-01-01,0.33
85,大城,3,臭氧,O3,ppb,2024-01-01,50.3
85,大城,4,懸浮微粒,PM10,μg/m3,2024-01-01,54
85,大城,5,氮氧化物,NOx,ppb,2024-01-01,5.2
85,大城,6,一氧化氮,NO,ppb,2024-01-01,0.2
85,大城,7,二氧化氮,NO2,ppb,2024-01-01,5
85,大城,8,總碳氫化物,THC,ppm,2024-01-01,2.18
85,大城,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.03
85,大城,10,風速,WIND_SPEED,m/sec,2024-01-01,8.7
85,大城,14,溫度,AMB_TEMP,℃,2024-01-01,18.7
85,大城,31,甲烷,CH4,ppm,2024-01-01,2.14
85,大城,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,27.5
85,大城,38,相對濕度,RH,%,2024-01-01,72
85,大城,143,小時風速值,WS_HR,m/sec,2024-01-01,8.7
80,關山,3,臭氧,O3,ppb,2024-01-01,44.2
80,關山,2,一氧化碳,CO,ppm,2024-01-01,0.36
80,關山,1,二氧化硫,SO2,ppb,2024-01-01,1.1
78,馬公,143,小時風速值,WS_HR,m/sec,2024-01-01,6.4
78,馬公,38,相對濕度,RH,%,2024-01-01,69
78,馬公,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,33.4
78,馬公,31,甲烷,CH4,ppm,2024-01-01,2.02
78,馬公,14,溫度,AMB_TEMP,℃,2024-01-01,18.9
78,馬公,10,風速,WIND_SPEED,m/sec,2024-01-01,7.3
78,馬公,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.02
78,馬公,8,總碳氫化物,THC,ppm,2024-01-01,2.06
78,馬公,7,二氧化氮,NO2,ppb,2024-01-01,3.2
78,馬公,6,一氧化氮,NO,ppb,2024-01-01,1.3
78,馬公,5,氮氧化物,NOx,ppb,2024-01-01,4.6
78,馬公,4,懸浮微粒,PM10,μg/m3,2024-01-01,47
78,馬公,3,臭氧,O3,ppb,2024-01-01,52.6
78,馬公,2,一氧化碳,CO,ppm,2024-01-01,0.36
78,馬公,1,二氧化硫,SO2,ppb,2024-01-01,1
77,金門,143,小時風速值,WS_HR,m/sec,2024-01-01,1.5
77,金門,38,相對濕度,RH,%,2024-01-01,55
77,金門,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,53.8
77,金門,31,甲烷,CH4,ppm,2024-01-01,2.31
77,金門,14,溫度,AMB_TEMP,℃,2024-01-01,15.2
77,金門,10,風速,WIND_SPEED,m/sec,2024-01-01,2
77,金門,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.09
77,金門,8,總碳氫化物,THC,ppm,2024-01-01,2.41
77,金門,7,二氧化氮,NO2,ppb,2024-01-01,9.7
77,金門,6,一氧化氮,NO,ppb,2024-01-01,1.1
77,金門,5,氮氧化物,NOx,ppb,2024-01-01,10.9
77,金門,4,懸浮微粒,PM10,μg/m3,2024-01-01,89
77,金門,3,臭氧,O3,ppb,2024-01-01,56.5
77,金門,2,一氧化碳,CO,ppm,2024-01-01,0.53
77,金門,1,二氧化硫,SO2,ppb,2024-01-01,1.8
75,馬祖,143,小時風速值,WS_HR,m/sec,2024-01-01,2
75,馬祖,38,相對濕度,RH,%,2024-01-01,63
75,馬祖,33,細懸浮微粒,PM2.5,μg/m3,2024-01-01,63.2
75,馬祖,31,甲烷,CH4,ppm,2024-01-01,2.17
75,馬祖,14,溫度,AMB_TEMP,℃,2024-01-01,11.9
75,馬祖,10,風速,WIND_SPEED,m/sec,2024-01-01,2.4
75,馬祖,9,非甲烷碳氫化合物,NMHC,ppm,2024-01-01,0.07
75,馬祖,8,總碳氫化物,THC,ppm,2024-01-01,2.24
75,馬祖,7,二氧化氮,NO2,ppb,2024-01-01,6.2
75,馬祖,6,一氧化氮,NO,ppb,2024-01-01,0.7
75,馬祖,5,氮氧化物,NOx,ppb,2024-01-01,7
75,馬祖,4,懸浮微粒,PM10,μg/m3,2024-01-01,92
75,馬祖,3,臭氧,O3,ppb,2024-01-01,51.7
75,馬祖,2,一氧化碳,CO,ppm,2024-01-01,0.51
