Date,Open,High,Low,Close,Volume
02/18/2025,"1,085.00","1,100.00","1,080.00","1,100.00","22,357,939"
02/17/2025,"1,065.00","1,085.00","1,065.00","1,085.00","36,903,859"
02/14/2025,"1,065.00","1,070.00","1,060.00","1,060.00","70,775,922"
02/13/2025,"1,090.00","1,095.00","1,080.00","1,090.00","34,840,520"
02/12/2025,"1,110.00","1,115.00","1,100.00","1,100.00","24,977,391"
02/11/2025,"1,110.00","1,115.00","1,100.00","1,110.00","19,615,051"
02/10/2025,"1,125.00","1,125.00","1,095.00","1,105.00","29,829,100"
02/07/2025,"1,110.00","1,125.00","1,105.00","1,125.00","28,949,539"
02/06/2025,"1,120.00","1,120.00","1,105.00","1,115.00","30,550,189"
02/05/2025,"1,110.00","1,120.00","1,105.00","1,110.00","41,863,527"
02/04/2025,"1,085.00","1,100.00","1,080.00","1,095.00","54,898,648"
02/03/2025,"1,065.00","1,075.00","1,060.00","1,070.00","105,800,203"
01/22/2025,"1,140.00","1,150.00","1,135.00","1,135.00","44,643,688"
01/21/2025,"1,115.00","1,125.00","1,110.00","1,120.00","22,604,830"
01/20/2025,"1,125.00","1,135.00","1,120.00","1,120.00","30,578,170"
01/17/2025,"1,125.00","1,125.00","1,095.00","1,120.00","60,450,367"
01/16/2025,"1,095.00","1,115.00","1,090.00","1,105.00","49,015,672"
01/15/2025,"1,085.00","1,085.00","1,065.00","1,065.00","37,342,578"
01/14/2025,"1,085.00","1,090.00","1,075.00","1,090.00","29,475,230"
01/13/2025,"1,110.00","1,115.00","1,070.00","1,075.00","59,942,539"
01/10/2025,"1,100.00","1,110.00","1,100.00","1,100.00","22,920,750"
01/09/2025,"1,100.00","1,115.00","1,100.00","1,100.00","28,553,189"
01/08/2025,"1,110.00","1,130.00","1,105.00","1,105.00","46,873,512"
01/07/2025,"1,150.00","1,160.00","1,130.00","1,130.00","50,625,480"
01/06/2025,"1,100.00","1,125.00","1,095.00","1,125.00","74,324,797"
01/03/2025,"1,080.00","1,085.00","1,075.00","1,075.00","31,002,211"
01/02/2025,"1,070.00","1,075.00","1,055.00","1,065.00","45,000,121"
12/31/2024,"1,080.00","1,085.00","1,075.00","1,075.00","29,090,000"
12/30/2024,"1,090.00","1,095.00","1,085.00","1,090.00","24,456,449"
12/27/2024,"1,080.00","1,095.00","1,080.00","1,090.00","26,130,990"
12/26/2024,"1,085.00","1,090.00","1,085.00","1,085.00","15,017,630"
12/25/2024,"1,090.00","1,090.00","1,080.00","1,085.00","16,169,220"
12/24/2024,"1,095.00","1,095.00","1,080.00","1,080.00","27,462,750"
12/23/2024,"1,065.00","1,080.00","1,060.00","1,080.00","31,869,311"
12/20/2024,"1,060.00","1,060.00","1,035.00","1,035.00","54,186,102"
12/19/2024,"1,065.00","1,070.00","1,055.00","1,070.00","44,321,520"
12/18/2024,"1,075.00","1,090.00","1,070.00","1,085.00","42,770,160"
12/17/2024,"1,090.00","1,095.00","1,075.00","1,075.00","39,002,594"
12/16/2024,"1,085.00","1,085.00","1,075.00","1,085.00","41,482,922"
12/13/2024,"1,060.00","1,070.00","1,055.00","1,065.00","21,086,779"
12/12/2024,"1,060.00","1,065.00","1,055.00","1,060.00","23,242,961"
12/11/2024,"1,045.00","1,060.00","1,045.00","1,045.00","26,416,939"
12/10/2024,"1,070.00","1,075.00","1,060.00","1,065.00","29,097,250"
12/09/2024,"1,070.00","1,075.00","1,065.00","1,075.00","22,891,279"
12/06/2024,"1,075.00","1,080.00","1,060.00","1,065.00","31,415,119"
12/05/2024,"1,070.00","1,080.00","1,070.00","1,075.00","33,155,180"
12/04/2024,"1,065.00","1,070.00","1,055.00","1,070.00","34,955,578"
12/03/2024,"1,060.00","1,065.00","1,055.00","1,055.00","45,237,078"
12/02/2024,"1,020.00","1,040.00","1,015.00","1,035.00","32,372,420"
11/29/2024,"995.00","1,010.00","994.00","996.00","41,133,320"
11/28/2024,"1,005.00","1,005.00","992.00","1,005.00","35,564,039"
11/27/2024,"1,010.00","1,020.00","1,000.00","1,000.00","34,267,141"
11/26/2024,"1,015.00","1,020.00","1,010.00","1,010.00","29,343,330"
11/25/2024,"1,045.00","1,050.00","1,030.00","1,030.00","50,247,910"
11/22/2024,"1,035.00","1,050.00","1,035.00","1,040.00","25,961,449"
11/21/2024,"1,020.00","1,025.00","1,010.00","1,010.00","42,841,980"
11/20/2024,"1,045.00","1,050.00","1,020.00","1,025.00","37,136,191"
11/19/2024,"1,030.00","1,045.00","1,025.00","1,040.00","24,899,600"
11/18/2024,"1,030.00","1,035.00","1,020.00","1,025.00","33,100,180"
11/15/2024,"1,040.00","1,045.00","1,030.00","1,035.00","35,633,848"
11/14/2024,"1,030.00","1,040.00","1,025.00","1,035.00","46,186,910"
11/13/2024,"1,045.00","1,050.00","1,035.00","1,035.00","44,124,961"
11/12/2024,"1,060.00","1,065.00","1,050.00","1,050.00","53,438,793"
11/11/2024,"1,080.00","1,090.00","1,070.00","1,085.00","35,680,660"
11/08/2024,"1,085.00","1,090.00","1,080.00","1,090.00","38,714,961"
11/07/2024,"1,050.00","1,075.00","1,050.00","1,065.00","45,050,559"
11/06/2024,"1,050.00","1,080.00","1,040.00","1,060.00","57,159,980"
11/05/2024,"1,030.00","1,055.00","1,030.00","1,050.00","32,969,781"
11/04/2024,"1,030.00","1,045.00","1,025.00","1,040.00","27,541,500"
11/01/2024,"996.00","1,030.00","996.00","1,025.00","56,290,738"
10/30/2024,"1,040.00","1,055.00","1,030.00","1,030.00","39,199,539"
10/29/2024,"1,035.00","1,040.00","1,020.00","1,040.00","47,905,699"
10/28/2024,"1,075.00","1,080.00","1,050.00","1,050.00","41,425,059"
10/25/2024,"1,065.00","1,070.00","1,060.00","1,065.00","22,576,891"
10/24/2024,"1,070.00","1,075.00","1,055.00","1,060.00","39,199,480"
10/23/2024,"1,060.00","1,070.00","1,055.00","1,060.00","32,273,420"
10/22/2024,"1,065.00","1,075.00","1,060.00","1,075.00","42,441,879"
10/21/2024,"1,090.00","1,095.00","1,080.00","1,085.00","37,616,031"
10/18/2024,"1,095.00","1,100.00","1,075.00","1,085.00","89,393,328"
10/17/2024,"1,050.00","1,055.00","1,030.00","1,035.00","55,536,328"
10/16/2024,"1,040.00","1,070.00","1,035.00","1,045.00","54,307,840"
10/15/2024,"1,050.00","1,075.00","1,050.00","1,070.00","46,311,398"
10/14/2024,"1,045.00","1,055.00","1,035.00","1,045.00","38,433,152"
10/11/2024,"1,025.00","1,050.00","1,020.00","1,045.00","46,781,352"
10/09/2024,"1,030.00","1,035.00","1,020.00","1,020.00","50,089,609"
10/08/2024,"1,000.00","1,010.00","997.00","1,010.00","32,082,051"
10/07/2024,"993.00","1,010.00","989.00","1,005.00","42,617,832"
10/04/2024,"986.00","986.00","967.00","977.00","41,707,754"
10/01/2024,"967.00","977.00","967.00","972.00","27,545,260"
09/30/2024,"978.00","990.00","957.00","957.00","65,705,938"
09/27/2024,"1,020.00","1,025.00","1,000.00","1,000.00","37,167,070"
09/26/2024,"1,010.00","1,015.00","1,005.00","1,015.00","41,691,809"
09/25/2024,"1,000.00","1,005.00","998.00","1,005.00","42,421,992"
09/24/2024,"976.00","987.00","971.00","987.00","29,324,170"
09/23/2024,"971.00","977.00","971.00","977.00","15,137,650"
09/20/2024,"981.00","982.00","971.00","973.00","62,758,160"
09/19/2024,"940.00","960.00","936.00","960.00","34,537,379"
09/18/2024,"945.00","948.00","933.00","941.00","29,259,660"
09/16/2024,"952.00","952.00","943.00","947.00","14,143,880"
09/13/2024,"955.00","955.00","939.00","947.00","26,486,439"
09/12/2024,"936.00","944.00","928.00","940.00","42,413,262"
09/11/2024,"906.00","906.00","900.00","901.00","18,545,250"
09/10/2024,"907.00","911.00","901.00","904.00","34,284,641"
09/09/2024,"892.00","900.00","891.00","899.00","38,424,941"
09/06/2024,"909.00","918.00","903.00","918.00","25,174,061"
09/05/2024,"907.00","915.00","900.00","902.00","31,746,891"
09/04/2024,"894.00","905.00","888.00","889.00","91,144,828"
09/03/2024,"948.00","952.00","939.00","940.00","20,477,619"
09/02/2024,"950.00","955.00","943.00","948.00","19,152,590"
08/30/2024,"944.00","952.00","941.00","944.00","64,427,840"
08/29/2024,"942.00","947.00","937.00","943.00","46,089,770"
08/28/2024,"945.00","964.00","943.00","964.00","32,014,080"
08/27/2024,"945.00","946.00","940.00","942.00","19,732,920"
08/26/2024,"957.00","961.00","945.00","950.00","26,101,119"
08/23/2024,"944.00","952.00","939.00","949.00","28,717,320"
08/22/2024,"958.00","964.00","948.00","951.00","25,426,369"
08/21/2024,"961.00","964.00","956.00","958.00","31,499,811"
08/20/2024,"977.00","977.00","968.00","973.00","24,876,619"
08/19/2024,"969.00","975.00","964.00","973.00","22,389,270"
08/16/2024,"963.00","969.00","958.00","969.00","47,184,672"
08/15/2024,"945.00","950.00","941.00","943.00","20,287,160"
08/14/2024,"951.00","955.00","945.00","948.00","38,147,168"
08/13/2024,"945.00","945.00","937.00","941.00","26,653,359"
08/12/2024,"942.00","948.00","931.00","940.00","40,003,738"
08/09/2024,"927.00","934.00","922.00","934.00","52,248,180"
08/08/2024,"901.00","905.00","887.00","896.00","40,360,219"
08/07/2024,"901.00","920.00","893.00","920.00","61,762,160"
08/06/2024,"868.00","895.00","840.00","880.00","107,830,703"
08/05/2024,"852.00","857.00","813.00","815.00","158,957,703"
08/02/2024,"918.00","928.00","903.00","903.00","87,726,852"
08/01/2024,"969.00","969.00","948.00","960.00","48,601,641"
07/31/2024,"929.00","940.00","928.00","934.00","40,969,262"
07/30/2024,"930.00","949.00","926.00","940.00","43,449,398"
07/29/2024,"942.00","948.00","936.00","944.00","42,376,910"
07/26/2024,"915.00","930.00","915.00","924.00","91,921,047"
07/23/2024,"963.00","979.00","956.00","979.00","49,222,289"
07/22/2024,"964.00","965.00","938.00","939.00","89,865,555"
07/19/2024,"988.00","995.00","970.00","970.00","104,872,492"
07/18/2024,"988.00","1,005.00","986.00","1,005.00","90,114,430"
07/17/2024,"1,035.00","1,045.00","1,020.00","1,030.00","57,783,594"
07/16/2024,"1,040.00","1,070.00","1,035.00","1,055.00","33,069,441"
07/15/2024,"1,040.00","1,045.00","1,025.00","1,040.00","39,471,832"
07/12/2024,"1,030.00","1,045.00","1,025.00","1,040.00","73,863,758"
07/11/2024,"1,065.00","1,080.00","1,055.00","1,080.00","43,240,449"
07/10/2024,"1,020.00","1,050.00","1,015.00","1,045.00","47,490,367"
07/09/2024,"1,030.00","1,055.00","1,025.00","1,040.00","48,198,602"
07/08/2024,"1,005.00","1,050.00","1,000.00","1,035.00","41,891,328"
07/05/2024,"1,005.00","1,010.00","1,000.00","1,005.00","20,671,609"
07/04/2024,"1,000.00","1,010.00","997.00","1,005.00","45,173,500"
07/03/2024,"976.00","979.00","967.00","979.00","24,968,529"
07/02/2024,"967.00","971.00","959.00","960.00","26,114,609"
07/01/2024,"968.00","977.00","965.00","968.00","20,724,000"
06/28/2024,"956.00","971.00","955.00","966.00","40,101,168"
06/27/2024,"951.00","961.00","949.00","960.00","40,438,078"
06/26/2024,"951.00","960.00","951.00","960.00","46,029,129"
06/25/2024,"925.00","945.00","923.00","945.00","59,601,359"
06/24/2024,"958.00","960.00","940.00","940.00","72,346,703"
06/21/2024,"961.00","978.00","960.00","970.00","91,540,523"
06/20/2024,"971.00","981.00","971.00","981.00","51,002,359"
06/19/2024,"953.00","984.00","953.00","981.00","74,810,125"
06/18/2024,"944.00","950.00","940.00","943.00","39,064,406"
06/17/2024,"913.00","925.00","913.00","921.00","27,270,520"
06/14/2024,"916.00","922.00","905.00","922.00","39,689,566"
06/13/2024,"923.00","935.00","911.00","919.00","57,997,090"
06/12/2024,"888.00","914.00","888.00","909.00","50,151,301"
06/11/2024,"892.00","895.00","883.00","883.00","49,079,633"
06/07/2024,"885.00","888.00","879.00","879.00","43,094,512"
06/06/2024,"893.00","899.00","885.00","894.00","66,197,344"
06/05/2024,"841.00","857.00","835.00","854.00","32,768,781"
06/04/2024,"844.00","851.00","837.00","839.00","29,430,100"
06/03/2024,"839.00","853.00","837.00","846.00","29,182,699"
05/31/2024,"838.00","846.00","821.00","821.00","80,216,281"
05/30/2024,"841.00","848.00","838.00","838.00","40,994,113"
05/29/2024,"861.00","868.00","856.00","857.00","35,031,340"
05/28/2024,"867.00","873.00","865.00","865.00","26,205,500"
05/27/2024,"872.00","878.00","866.00","869.00","27,735,920"
05/24/2024,"858.00","872.00","858.00","867.00","35,148,461"
05/23/2024,"875.00","877.00","867.00","875.00","38,436,199"
05/22/2024,"845.00","865.00","843.00","864.00","38,584,352"
05/21/2024,"830.00","841.00","830.00","841.00","20,063,109"
05/20/2024,"834.00","838.00","822.00","835.00","29,576,330"
05/17/2024,"848.00","848.00","834.00","835.00","27,002,711"
05/16/2024,"852.00","856.00","837.00","841.00","45,296,887"
05/15/2024,"838.00","844.00","837.00","839.00","41,152,770"
05/14/2024,"816.00","825.00","811.00","825.00","29,606,609"
05/13/2024,"823.00","825.00","818.00","819.00","36,456,941"
05/10/2024,"803.00","807.00","798.00","802.00","26,485,430"
05/09/2024,"798.00","802.00","796.00","796.00","22,474,680"
05/08/2024,"794.00","802.00","792.00","802.00","22,192,760"
05/07/2024,"797.00","800.00","792.00","800.00","35,100,820"
05/06/2024,"791.00","793.00","786.00","786.00","33,304,500"
05/03/2024,"788.00","788.00","773.00","780.00","30,496,740"
05/02/2024,"789.00","789.00","772.00","772.00","42,626,359"
04/30/2024,"797.00","802.00","790.00","790.00","40,511,238"
04/29/2024,"790.00","795.00","787.00","795.00","27,823,199"
04/26/2024,"788.00","789.00","782.00","782.00","33,826,898"
04/25/2024,"770.00","774.00","765.00","766.00","30,110,029"
04/24/2024,"770.00","785.00","769.00","783.00","40,911,738"
04/23/2024,"761.00","761.00","752.00","754.00","31,075,680"
04/22/2024,"740.00","757.00","740.00","742.00","49,229,941"
04/19/2024,"769.00","770.00","746.00","750.00","142,480,500"
04/18/2024,"796.00","810.00","792.00","804.00","44,661,609"
